OrderID,CustomerID,EmployeeID,OrderDate,ShipperID,,,,
10288,66,4,8/23/96,1,,,,
10428,66,7,1/28/97,1,,,,
10443,66,8,2/12/97,1,,,,
10287,67,8,8/22/96,3,,,,
10299,67,4,9/6/96,2,,,,
10255,68,9,7/12/96,3,,,,
10419,68,4,1/20/97,2,,,,
10281,69,4,8/14/96,1,,,,
10282,69,4,8/15/96,1,,,,
10306,69,1,9/16/96,3,,,,
10387,70,1,12/18/96,2,,,,
10324,71,9,10/8/96,1,,,,
10393,71,1,12/25/96,3,,,,
10398,71,2,12/30/96,3,,,,
10440,71,4,2/10/97,2,,,,
10359,72,5,11/21/96,3,,,,
10377,72,1,12/9/96,3,,,,
10388,72,2,12/19/96,1,,,,
10341,73,7,10/29/96,3,,,,
10417,73,4,1/16/97,3,,,,
10271,75,6,8/1/96,2,,,,
10329,75,4,10/15/96,2,,,,
10349,75,7,11/8/96,1,,,,
10369,75,8,12/2/96,2,,,,
10385,75,1,12/17/96,2,,,,
10432,75,3,1/31/97,2,,,,
10252,76,4,7/9/96,2,,,,
10302,76,4,9/10/96,2,,,,
10310,77,8,9/20/96,2,,,,
10438,79,3,2/6/97,2,,,,
10276,80,8,8/8/96,3,,,,
10293,80,1,8/29/96,3,,,,
10304,80,1,9/12/96,2,,,,
10319,80,7,10/2/96,3,,,,
10249,81,6,7/5/96,1,,,,
10292,81,1,8/28/96,2,,,,
10367,83,7,11/28/96,3,,,,
10399,83,8,12/31/96,3,,,,
10251,84,3,7/8/96,1,,,,
10334,84,8,10/21/96,2,,,,
10274,85,6,8/6/96,1,,,,
10295,85,2,9/2/96,2,,,,
10301,86,8,9/9/96,2,,,,
10312,86,2,9/23/96,2,,,,
10348,86,4,11/7/96,2,,,,
10356,86,6,11/18/96,2,,,,
10266,87,3,7/26/96,3,,,,
10270,87,1,8/1/96,1,,,,
10320,87,5,10/3/96,3,,,,
10333,87,5,10/18/96,3,,,,
10412,87,8,1/13/97,2,,,,
10416,87,8,1/16/97,3,,,,
10437,87,8,2/5/97,1,,,,
10256,88,3,7/15/96,2,,,,
10420,88,3,1/21/97,1,,,,
10269,89,5,7/31/96,1,,,,
10344,89,4,11/1/96,2,,,,
10248,90,5,7/4/96,3,,,,
10374,91,1,12/5/96,3,,,,
